,Shape,Mu Max,Coordinates
0,Tetrahedron,1.0146118702027100,"[0.09762356249875272, 0.16909592613018604, -3.5815221788342024e-10, 4.096909271629369, 2.6180024379975206, 2.3561796643402944, 0.6154903637201488]"
1,Cube,1.06046594162552,"[6.56344048424042e-09, -6.259921133540659e-09, 4.693635744976412, 1.5707963267949152, -9.75729758212795, -5.163647613860716, -6.978062803543616]"
2,Octahedron,1.0606601717798100,"[-2.3616712734056595e-18, -8.503032702009392e-18, 2.034443935795666, 0.7297276562269486, -1.9479557004043768, 3.8405025815958838, 1.5707963835003096]"
3,Dodecahedron,1.0108230607522700,"[1.0343106209673751e-15, 4.799673647688393e-16, 2.238003167893885, 5.684307777907903, 0.2029488206472605, 6.283184949516276, 3.5006422485292297]"
4,Icosahedron,1.010823060752080,"[-7.973024555345678e-16, 4.303636332855468e-17, 6.074009925587313, -2.657952431566576, -0.10751266396504633, 2.727380648247782, 3.2268200888755154]"
