,Unnamed: 0,Shape,Mu Max,Coordinates,Johnson Suffix
55,52,Metabiaugmented Hexagonal Prism (J56),1.12577823077848,"[-0.00523062302763172, 0.16390812391972379, 2.9072690074220158, 1.5707963267947802, 6.0480430605450906, 3.944439789015178, 3.12425739697809]", (J56)
56,86,Triaugmented Hexagonal Prism (J57),1.01995607634738,"[-0.17218250553401418, -0.2554287820606356, 1.5707963267948915, 0.5235987755983206, -0.1651079773118611, 2.2982786502116053, 3.06401632413702]", (J57)
57,0,Augmented Dodecahedron (J58),1.01415723907113,"[0.0006335338737867039, -0.010662264661783893, 0.2751282022394196, 0.0017307839642326326, -2.211061904560848, 2.2828682674160574, 3.2104870461998978]", (J58)
58,58,Parabiaugmented Dodecahedron (J59),1.02877288420573,"[0.0, 0.0, 2.7645878701366424, 1.1585535212801572, -7.142780004220045, 0.37976031073182726, 0.4961309613124744]", (J59)
59,51,Metabiaugmented Dodecahedron (J60),1.014961907469697,"[0.0015635426676044392, -0.012480034348068395, 4.6373344818663025, 5.871235843356055, 4.3197225074874614, 1.8055666726121138, 2.080812171694977]", (J60)
60,85,Triaugmented Dodecahedron (J61),1.00628058123985,"[0.015352002249187376, 0.004062709577564803, 2.1844759614463336, 5.766511287479838, -0.2278133216189966, 4.552500016948454, 0.6552830092627053]", (J61)
61,54,Metabidiminished Icosahedron (J62),1.02326930874493,"[-0.014900928975574509, -0.022768277551077236, -0.20482922360778946, 0.7379961609034753, -3.374978180082752, 1.5181287790125253, 3.584694989727958]", (J62)
62,89,Tridiminished Icosahedron (J63),1.012931518382796,"[0.01605301475661896, -0.03901767898549536, 2.4947869489265155, 2.986775978610346, 1.1257155696411505, 7.047410321338236, 5.642671337036529]", (J63)
63,5,Augmented Tridiminished Icosahedron (J64),1.02350215539987,"[-0.1952194596065062, -0.14186824189001035, 3.98266130849257, 1.0172219671796692, -5.9689193540743375, 3.141389735712822, 2.5877846157557634]", (J64)
64,8,Augmented Truncated Tetrahedron (J65),1.06991894897336,"[-0.29448189502044725, 0.09738023491472926, 6.2831853071793775, 5.497787143782199, -2.000684203866972, 4.799231558665918, 2.9889338430793178]", (J65)
65,6,Augmented Truncated Cube (J66),1.03763279901098,"[-6.617398477065107e-16, -7.697641930994794e-16, 3.315777398221539, 3.74819693473494, 0.155125507754156, 1.1270027007001382, 2.442516144586253]", (J66)
66,11,Biaugmented Truncated Cube (J67),1.04251760142213,"[9.069953512516632e-12, -7.598419857979489e-12, 3.926990816987366, 3.141592653589694, -0.3242495071914018, 5.178524319718194, 2.4220429379212476]", (J67)
67,7,Augmented Truncated Dodecahedron (J68),1.00161436178698,"[0.0, 0.0, 0.17316299375712796, 2.773866640990327, -7.578633216233168, 1.7151686337586725, -5.156365190763632]", (J68)
68,60,Parabiaugmented Truncated Dodecahedron (J69),1.01448489724246,"[-6.394512300374393e-16, 9.878243581650065e-16, 4.463177733169905, 6.1612515589370185, 2.545324570835511, 1.4496480070465974, 5.009711539870729]", (J69)
69,53,Metabiaugmented Truncated Dodecahedron (J70),1.003759497595628,"[0.006302424804033576, 0.00917449627702966, 4.757771723328963, 2.7526679502849976, 0.46864215842241147, 6.215615409384673, 0.46983362768874515]", (J70)
70,88,Triaugmented Truncated Dodecahedron (J71),1.0008829830082413,"[-0.03796794082203398, -0.017049576207328745, 3.1607572040986285, 1.5707963267951615, 3.696889819550769, 3.617779518953281, 6.111686841385679]", (J71)
71,36,Gyrate Rhombicosidodecahedron (J72),0.9999634968126417,"[2.989241547136527e-05, 2.7449524765957153e-05, 0.9439991620616107, 5.524295025268925, 0.8097502069325135, 5.728513137396402, 4.398365098231209]", (J72)
72,62,Parabigyrate Rhombicosidodecahedron (J73),0.9999810996546803,"[-1.2866877074500033e-05, 3.2305711156592643e-06, 3.9148959481055106, 0.6394118910627165, 1.329043981454066, 2.851195808657661, 5.671282361085836]", (J73)
73,56,Metabigyrate Rhombicosidodecahedron (J74),0.9999444367759442,"[3.781826389990379e-05, -1.2948924976547888e-05, 1.5653709993883511, 0.5486819589524728, 5.286661668350729, 1.7431765566214437, 3.3997221228245293]", (J74)
74,91,Trigyrate Rhombicosidodecahedron (J75),0.9999386459959662,"[-2.667811588648151e-05, 0.00010400444127325238, 0.8645572389283188, 5.844711321133754, 5.054652339139668, 5.723391565636708, 4.398572310770084]", (J75)
75,14,Diminished Rhombicosidodecahedron (J76),1.0002286605247412,"[0.0040882392252025385, 0.009895824175499987, 0.34218228167243925, 2.0549702617878722, 0.40993240922267027, 3.374204185120761, 2.679320813112058]", (J76)
76,63,Paragyrate Diminished Rhombicosidodecahedron (J77),0.9999857931604618,"[6.818720806098617e-06, -2.17218145752961e-06, 1.570557260530906, 3.139721132462636, 4.086068968281935, 0.9429256922415321, 3.0866914339307487]", (J77)
77,57,Metagyrate Diminished Rhombicosidodecahedron (J78),1.001845783917532,"[-0.01552565142647152, -0.03718693171654576, 2.776249822942625, 1.5707963267948417, 6.2653296160068095, 0.8328795965830542, 2.2211227710528747]", (J78)
78,12,Bigyrate Diminished Rhombicosidodecahedron (J79),1.0003975181351596,"[-0.03832378926094215, 0.04397819400577375, 2.588024326104756, 3.455781677465168, 3.5689534365298066, 5.174645973804915, 2.3170270572345246]", (J79)
79,61,Parabidiminished Rhombicosidodecahedron (J80),1.00228822190091,"[0.0, 0.0, 1.8758257546377664, 1.6563887419990875, 0.5338180473332974, 1.0108204783812234, 4.061745348579408]", (J80)
80,55,Metabidiminished Rhombicosidodecahedron (J81),1.0027648947703645,"[-0.029842758897982873, 0.005818167719416043, 4.975100958258679, 4.71238898038469, 0.3944886793869981, 5.356773687444001, 4.844240952096468]", (J81)
81,35,Gyrate Bidiminished Rhombicosidodecahedron (J82),1.003010991090981,"[-0.008484137840612437, 0.04542758610356897, 5.7296109482823026, 5.96902604182082, 4.740557326490497, 3.178338925525392, 5.456868648872508]", (J82)
82,90,Tridiminished Rhombicosidodecahedron (J83),1.002269779676573,"[-0.037271850524673904, 0.004468600095758399, 6.283185307176724, -2.9021555169076328e-12, 4.024394710741551, 5.588787427255266, 4.549706371140021]", (J83)
83,73,Snub Disphenoid (J84),1.16867549442651,"[-1.0061522878052065e-07, -0.20957584482147487, 3.225230222790705, 6.366531733680084, 3.9304802721097634, 4.647006828200682, -2.8141629785898134e-06]", (J84)
84,74,Snub Square Antiprism (J85),1.02954106080263,"[2.1683450261017478e-10, -0.11384802520723142, 4.712388994928481, 1.8109283192466523, 6.283185322180659, 5.873807095629639, 3.141592653276406]", (J85)
85,75,Sphenocorona (J86),1.08031870577193,"[0.0, 0.0, 0.9341453501568007, 4.720021220818855, 0.6367250011082835, 0.19294379716860663, 6.282735158139753]", (J86)
86,3,Augmented Sphenocorona (J87),1.06241033492278,"[-0.021482726614307404, -0.07166325448533867, 1.7636230607700691, 0.5509353531074168, 2.122537930017201, 2.5991465456983094, 3.7962329526416356]", (J87)
87,76,Sphenomegacorona (J88),1.2610278840548,"[-0.22210600843852543, 0.025574957394977477, 2.204547295611702, 1.570796326794823, 2.0566971336459474, 1.6448571394568905, 3.1308422312611706]", (J88)
88,50,Hebesphenomegacorona (J89),1.02913733796771,"[-0.01559171526367785, -5.06437264957498e-06, 0.6954567917562183, 4.712388980384647, -3.681704284121668, 6.128388987126355, 1.3936255576546248]", (J89)
89,15,Disphenocingulum (J90),1.01973343970822,"[0.08600700363990586, -0.08881319132128258, 2.805173774442955, 3.6487575277688227, 1.0231311650447668, 5.791371877499037, 4.417363241808957]", (J90)
90,13,Bilunabirotunda (J91),1.20340921364865,"[0.0, 0.0, 2.1834431864685335, 7.239389462537407, -12.056301866463691, -3.4325271142716476, -0.05688955443704341]", (J91)
91,83,Triangular Hebesphenorotunda (J92),1.07046626821506,"[-0.009152527165257381, -0.08211106168650503, 2.103876944579259, 0.9377072033537774, 2.389034558675144, 4.911527505995427, 4.3040592915612175]", (J92)
